id,latitude,longitude,type
378,47.42998889,-94.04975556,recarea
379,47.25105556,-93.586225,recarea
380,46.78,-92.16,recarea
381,37.169397,-104.500541,city
382,38.2544472,-104.609141,city
383,48.601033,-93.4105904,city
384,39.7082498,-91.3587413,city
385,38.7624373,-93.7409596,city
386,43.5488256,-96.7307737,city
387,39.8366528,-105.0372046,city
388,40.0149856,-105.270545,city
389,47.9252042,-97.0306741,city
390,48.0504,-98.89271,recarea
391,47.9827,-98.97877,recarea
392,48.110129,-98.867586,recarea
393,48.40313,-97.793,recarea
394,48.30034,-95.982149,recarea
395,48.299781,-95.982482,recarea
396,42.5006243,-90.6647985,city
397,40.6938609,-89.5891008,city
398,40.9475652,-90.3712169,city
399,44.5263107,-109.056392,city
400,41.9758872,-91.6704053,city
401,38.9107156,-94.3821295,city
402,40.7788486,-99.7414869,city
403,39.1911128,-106.82356,city
404,40.3977612,-105.07498,city
405,42.2713945,-89.093966,city
406,38.4040054,-96.181623,city
407,48.23251,-101.296273,city
408,48.669121,-102.097279,recarea
409,48.61736,-100.728555,recarea
410,48.45982,-101.5687,recarea
411,37.9509324,-91.7708076,city
412,41.7320796,-93.605092,city
413,40.1948848,-92.5833939,city
414,41.5253792,-90.5098639,city
415,38.8108097,-94.5313502,city
416,39.049011,-95.677556,city
417,37.7274692,-89.216655,city
418,36.3728538,-94.2088172,city
419,38.783855,-90.481677,city
420,36.7291152,-108.205445,city
421,35.8272257,-90.6949871,city
422,36.4072377,-105.573284,city
423,40.6255415,-103.207709,city
424,43.074761,-89.3837613,city
425,39.017316,-94.282265,city
426,40.924271,-98.338685,city
427,38.9719384,-95.2359496,city
428,44.9772995,-93.2654692,city
429,44.797194,-106.956179,city
430,30.6913462,-88.0437509,city
431,30.321699,-89.937221,recarea
432,30.478327,-89.796592,recarea
433,25.6792695,-80.3172743,city
434,26.497497,-80.216602,recarea
435,27.03668,-80.111941,recarea
436,26.948,-80.086,recarea
437,26.052233,-81.700669,recarea
438,25.191763,-80.356482,recarea
439,25.88330078,-81.53530121,recarea
440,26.187058,-81.349836,recarea
441,26.7642,-80.92572,recarea
442,27.937801,-82.2859247,city
443,28.714603,-82.577276,recarea
444,26.79745,-82.171287,recarea
445,29.107194,-81.355791,recarea
446,28.884421,-82.592788,recarea
447,28.641467,-80.735842,recarea
448,26.65970039,-82.19419861,recarea
449,27.809284,-81.484641,recarea
450,27.54999924,-82.73329926,recarea
451,27.67469978,-82.67469788,recarea
452,27.4467056,-80.3256056,city
453,27.8752,-80.4554,recarea
454,27.80439949,-80.42559814,recarea
455,30.3321838,-81.655651,city
456,29.670398,-81.214116,recarea
457,28.8117345,-81.2680223,city
458,28.55830002,-80.88330078,recarea
459,28.5551912,-81.7669488,city
460,29.100427,-83.070288,recarea
461,29.372574,-83.044111,recarea
462,28.810823,-81.8778582,city
463,28.106471,-80.6371513,city
464,25.7929198,-80.1353006,city
465,26.3100794,-80.23727,city
466,26.3586885,-80.0830984,city
467,31.2237285,-85.3934375,city
468,30.151541,-84.147329,recarea
469,30.704492,-84.863755,recarea
470,30.4380832,-84.2809332,city
471,29.716667,-84.883333,recarea
472,25.8575963,-80.2781057,city
473,26.640628,-81.8723084,city
474,26.445509,-82.112371,recarea
475,26.445464,-82.112409,recarea
476,30.3674198,-89.0928155,city
477,29.998994,-90.423226,recarea
478,31.5782062,-84.1556809,city
479,32.5102427,-92.1032411,city
480,31.541476,-92.572912,recarea
481,31.485129,-92.683944,recarea
482,31.582549,-91.601956,recarea
483,32.604866,-92.050316,recarea
484,31.576484,-92.009559,recarea
485,32.625,-92.20829773,recarea
486,32.641683,-92.191953,recarea
487,32.704386,-93.513845,recarea
488,32.168693,-92.107897,recarea
489,31.482598,-91.862528,recarea
490,32.706849,-93.917686,recarea
491,32.320296,-93.669957,recarea
492,33.29936,-92.480326,recarea
493,33.053725,-92.124467,recarea
494,32.25,-91.33329773,recarea
495,32.91669846,-92.11109924,recarea
496,32.681,-92.2024,recarea
497,31.348275,-91.424026,recarea
498,32.5135356,-93.7477839,city
499,27.044224,-82.2359254,city
500,26.318342,-80.0996306,city
501,30.4494155,-91.1869659,city
502,30.5473,-91.9465,recarea
503,31.0037,-91.6733,recarea
504,30.00368,-92.781279,recarea
505,31.109388,-92.137944,recarea
506,29.560575,-90.778643,recarea
507,29.42440033,-91.85359955,recarea
508,29.784861,-91.521264,recarea
509,24.5548262,-81.8020722,city
510,24.690496,-81.381503,recarea
511,24.695521,-81.370772,recarea
512,24.6317,-81.55229,recarea
513,28.678013,-81.511398,city
514,27.3365805,-82.5308545,city
515,28.2918995,-81.4075838,city
516,26.1223084,-80.1433786,city
517,26.9761707,-82.0906448,city
518,31.3119463,-92.4453558,city
519,29.973907,-93.089569,recarea
520,27.2939333,-80.3503283,city
521,26.1421976,-81.7942944,city
522,27.8963791,-81.8431567,city
523,26.784343,-80.0650293,city
524,31.3271189,-89.2903392,city
525,27.4989278,-82.5748194,city
526,29.6519684,-82.3249846,city
527,27.7700475,-82.6359078,city
528,26.271192,-80.2706044,city
529,31.1499528,-81.4914894,city
530,26.0112014,-80.1494901,city
531,26.2378597,-80.1247667,city
532,29.5541432,-81.2207673,city
533,28.5656649,-81.5856742,city
534,29.1871986,-82.1400923,city
535,29.9759983,-90.0782127,city
536,30.1586518,-85.6602936,city
537,26.5625742,-81.9438802,city
538,32.2998686,-90.1830408,city
539,25.4718946,-80.4759905,city
540,25.7741728,-80.19362,city
541,30.4007626,-88.8893818,city
542,26.1003392,-80.399513,city
543,27.9477595,-82.458444,city
544,26.0061943,-80.2872086,city
545,30.8327022,-83.2784851,city
546,29.2108147,-81.0228331,city
547,27.9658533,-82.8001026,city
548,25.9873137,-80.2322706,city
549,28.0394654,-81.9498042,city
550,27.9946969,-80.6366144,city
551,26.1666888,-80.2787573,city
552,28.5421109,-81.3790304,city
553,29.0258132,-80.9271271,city
554,29.8716577,-93.9332302,city
555,29.889527,-93.40325,recarea
556,26.715364,-80.0532942,city
557,30.2262187,-92.0178202,city
558,30.2305095,-93.2169807,city
559,37.0300969,-76.3452057,city
560,37.135851,-75.960534,recarea
561,37.13330078,-76.32689667,recarea
562,37.375,-77.25,recarea
563,37.3879256,-76.7260199,recarea
564,36.73255,-75.98488,recarea
565,37.337697,-77.191636,recarea
566,36.723055,-76.248729,recarea
567,37.9351,-75.4588,recarea
568,37.042007,-76.4882,recarea
569,36.619397,-76.559877,recarea
570,38.0,-76.875,recarea
571,35.930473,-75.711653,recarea
572,36.527615,-75.949997,recarea
573,36.51777,-75.928341,recarea
574,38.980666,-76.9369189,city
575,38.633,-77.1666,recarea
576,38.676615,-77.264388,recarea
577,38.648966,-77.243671,recarea
578,38.66755,-77.20282,recarea
579,39.891589,-75.257293,recarea
580,38.4698,-77.2687,recarea
581,38.446523,-76.106097,recarea
582,39.021861,-76.229605,recarea
583,39.05,-76.78,recarea
584,39.640198,-75.787768,recarea
585,38.985467,-76.503597,recarea
586,38.4,-76.454,recarea
587,39.259815,-75.473126,recarea
588,38.84999847,-75.26670074,recarea
589,39.117292,-75.496116,recarea
590,39.6023,-75.4987,recarea
591,42.0897965,-76.8077338,city
592,41.521884,-75.525923,recarea
593,41.987571,-77.174245,recarea
594,41.047168,-77.608283,recarea
595,41.3599994,-77.928777,recarea
596,41.903682,-77.147146,recarea
597,41.587865,-75.326712,recarea
598,39.1399187,-77.1929215,city
599,36.2139814,-83.2948923,city
600,37.125,-82.63167,recarea
601,35.611999,-82.568855,recarea
602,35.180464,-84.861639,recarea
603,36.957115,-84.266936,recarea
604,36.750982,-83.257,recarea
605,38.8051095,-77.0470229,city
606,36.0103562,-84.2696449,city
607,36.10167,-85.82,recarea
608,36.290008,-85.940747,recarea
609,36.53932,-85.451332,recarea
610,37.02,-84.627778,recarea
611,40.7127281,-74.0060152,city
612,40.846546,-75.644644,recarea
